12/24/2022,12/25/2022,Shockbyte Pty Ltd,Personal,Sale,-15.00,
12/22/2022,12/23/2022,FS *PerformanceSamp,Shopping,Sale,-264.56,
12/21/2022,12/22/2022,SMARTRIP WASHINGTON DC,Travel,Sale,-10.00,
12/20/2022,12/22/2022,TACO BELL 039072,Food & Drink,Sale,-10.18,
12/21/2022,12/22/2022,SMARTRIP WASHINGTON DC,Travel,Sale,-10.00,
12/21/2022,12/22/2022,MCDONALD'S F17278,Food & Drink,Sale,-12.05,
12/21/2022,12/22/2022,TST* Teds Bulletin 14th,Food & Drink,Sale,-15.28,
12/20/2022,12/21/2022,DOORDASH*WAWA,Food & Drink,Sale,-17.06,
12/15/2022,12/18/2022,TACO BELL 039072,Food & Drink,Sale,-9.44,
12/15/2022,12/18/2022,TACO BELL 039072,Food & Drink,Sale,-2.43,
12/14/2022,12/15/2022,DOORDASH*KOBE JAPAN HI,Food & Drink,Sale,-16.43,
12/12/2022,12/14/2022,TARGET        00032110,Shopping,Sale,-15.26,
12/12/2022,12/13/2022,TARGET        00032110,Shopping,Sale,-23.19,
12/12/2022,12/12/2022,Payment Thank You-Mobile,,Payment,345.51,
12/10/2022,12/11/2022,DOORDASH*&amp;PIZZA,Food & Drink,Sale,-17.53,
12/09/2022,12/11/2022,PANDA EXPRESS #802,Food & Drink,Sale,-8.17,
12/09/2022,12/11/2022,DOORDASH*TACO BELL,Food & Drink,Sale,-22.90,
12/08/2022,12/09/2022,DOORDASH*KOBE JAPAN HI,Food & Drink,Sale,-15.88,
12/05/2022,12/06/2022,CANTEEN VENDING,Food & Drink,Sale,-1.75,
12/04/2022,12/05/2022,TARGET        00032110,Shopping,Sale,-9.99,
12/04/2022,12/05/2022,DOORDASH*MARATHON DELI,Food & Drink,Sale,-18.65,
12/03/2022,12/05/2022,TACO BELL 039072,Food & Drink,Sale,-4.84,
12/04/2022,12/05/2022,TARGET        00032110,Shopping,Sale,-36.35,
12/03/2022,12/05/2022,HANAMI JAPANESE RESTAURA,Food & Drink,Sale,-90.55,
12/03/2022,12/04/2022,CVS/PHARMACY #10168,Health & Wellness,Sale,-1.00,
12/03/2022,12/04/2022,SNACK* MOGE TEE (COLLE,Food & Drink,Sale,-7.35,
12/02/2022,12/04/2022,TARGET        00032110,Shopping,Sale,-5.38,
12/04/2022,12/04/2022,DOORDASH DASHPASS,Food & Drink,Sale,-4.99,
12/02/2022,12/02/2022,PAYPAL *PATREON  MEMBERSH,Entertainment,Sale,-5.00,
11/28/2022,11/29/2022,SMARTRIP WASHINGTON DC,Travel,Sale,-10.00,
11/28/2022,11/29/2022,MCDONALD'S F26777,Food & Drink,Sale,-9.11,
11/27/2022,11/28/2022,GLORIA JEANS #2,Food & Drink,Sale,-5.14,
11/26/2022,11/27/2022,OLIVE GARDEN  00011015,Food & Drink,Sale,-31.25,
11/26/2022,11/27/2022,DOS AMIGOS MEXICAN,Food & Drink,Sale,-28.15,
11/25/2022,11/27/2022,SQ *BHOP ESPORTS,Entertainment,Sale,-5.05,
11/25/2022,11/27/2022,Payment Thank You-Mobile,,Payment,181.92,
11/25/2022,11/27/2022,AUNTIE ANNE'S,Food & Drink,Sale,-6.48,
11/23/2022,11/25/2022,DCA QDOBA / BAR,Food & Drink,Sale,-11.83,
11/22/2022,11/24/2022,McDonalds 21123,Food & Drink,Sale,-8.66,
11/22/2022,11/24/2022,TACO BELL 739072,Food & Drink,Sale,-8.34,
11/19/2022,11/20/2022,TRADER JOE'S #758 QPS,Groceries,Sale,-10.48,
11/18/2022,11/20/2022,MCDONALD'S F21123,Food & Drink,Sale,-1.47,
11/19/2022,11/20/2022,ONIKAMA RAMAN BAR,Food & Drink,Sale,-18.52,
11/18/2022,11/20/2022,MCDONALD'S F21123,Food & Drink,Sale,-5.93,
11/16/2022,11/17/2022,DOORDASH*TACO BELL,Food & Drink,Sale,-17.49,
11/13/2022,11/14/2022,DOORDASH*BOXD KITCHEN,Food & Drink,Sale,-12.67,
11/12/2022,11/13/2022,IKEA COLLEGE PK REST,Food & Drink,Sale,-4.01,
11/12/2022,11/13/2022,IKEA COLLEGE PARK,Home,Sale,-40.20,
11/12/2022,11/13/2022,IKEA COLLEGE PARK,Home,Sale,-8.25,
11/11/2022,11/13/2022,DOORDASH*TACO BELL,Food & Drink,Sale,-25.01,
11/07/2022,11/07/2022,Payment Thank You-Mobile,,Payment,106.01,
11/05/2022,11/07/2022,SHEETZ 0209   00002097,Gas,Sale,-9.06,
11/04/2022,11/06/2022,CVS/PHARMACY #01444,Health & Wellness,Sale,-12.71,
11/04/2022,11/06/2022,TARGET        00032110,Shopping,Sale,-9.99,
11/03/2022,11/04/2022,TRADER JOE'S #758 QPS,Groceries,Sale,-11.97,
11/02/2022,11/03/2022,PANDA EXPRESS #802,Food & Drink,Sale,-8.17,
11/02/2022,11/02/2022,PAYPAL *PATREON  MEMBERSH,Entertainment,Sale,-4.95,
10/30/2022,10/30/2022,DOORDASH*AROY THAI RES,Food & Drink,Sale,-15.70,
07/21/2022,07/22/2022,DOORDASH*TACO BELL,Food & Drink,Sale,-17.11,
07/21/2022,07/21/2022,TRANSCRIPT SERVICES,Professional Services,Sale,-10.00,
07/20/2022,07/21/2022,DOORDASH*MOD PIZZA,Food & Drink,Sale,-19.80,
